commit,parent_commit,timestamp,status,hypothesis,prediction,config_diff,primary_metric,delta_vs_parent,verdict_allocator,verdict_gate,p_value,ci_low,ci_high,stability_std,stability_min,metadata_path,override_reason,note,error
75711055,fb7aa481,2026-06-11T06:19:59+00:00,success,"Column subsampling decorrelates ranker trees and curbs overfitting, lifting out-of-sample top-k net return",primary up modestly; stability_std flat or slightly lower,ranker.feature_fraction: 1 -> 0.8,-0.00232822093394,,within_noise,within_noise,0.45620947661,-0.00804329074135,0.0035132985821,0.0084299481137,-0.0116151053135,/Users/richard/Desktop/pp/finance/StockWatch/.research/research_runs/20260611T061843238178Z/metadata.json,,,
3b0745c1,fb7aa481,2026-06-11T06:21:25+00:00,success,"A stricter Stage 1 gate drops marginal candidates, raising the average quality of the pool the ranker orders",primary up; candidate pool shrinks so stability_std may rise slightly,classifier.gate_threshold: 0.25 -> 0.3,-0.00838604149911,,within_noise,within_noise,0.288405534023,-0.0306034948883,0.0069356491593,0.0221536187665,-0.030603312132,/Users/richard/Desktop/pp/finance/StockWatch/.research/research_runs/20260611T062002025358Z/metadata.json,,,
c65b4209,fb7aa481,2026-06-11T06:24:13+00:00,success,Baseline replicate to anchor the HEAD primary value and estimate run noise; batch 1 produced no parent row so nothing had a delta,primary within stability_std of batch-1 results; gives a logged baseline to compare against,,-0.0048489309574,,within_noise,within_noise,0.148280476889,-0.0105981884287,0.00133461798603,0.0105078609609,-0.012089474885,/Users/richard/Desktop/pp/finance/StockWatch/.research/research_runs/20260611T062248941153Z/metadata.json,,,
aaf97d82,fb7aa481,2026-06-11T06:25:45+00:00,success,"Larger minimum leaf size regularizes the ranker, reducing overfit to thin cross-sections and lifting out-of-sample top-k net return",primary flat-to-up; stability_std lower than baseline,ranker.min_data_in_leaf: 20 -> 40,-0.00443638007743,,within_noise,within_noise,0.167062403839,-0.0104626272909,0.00162869679231,0.00859569272123,-0.0137865740141,/Users/richard/Desktop/pp/finance/StockWatch/.research/research_runs/20260611T062416000770Z/metadata.json,,,
965de0b0,c65b4209,2026-06-11T06:30:20+00:00,success,"Stronger column subsampling (0.7) extends the mildly-favorable feature_fraction=0.8 trend, further decorrelating ranker trees",primary up vs baseline anchor; stability_std flat-to-lower,ranker.feature_fraction: 1 -> 0.7,-0.00351404430496,0.00133488665244,within_noise,within_noise,0.481559911585,-0.00194183284663,0.00503542089244,0.00873019087937,-0.0131807273546,/Users/richard/Desktop/pp/finance/StockWatch/.research/research_runs/20260611T062834427426Z/metadata.json,,,
8a6edbd9,c65b4209,2026-06-11T06:32:41+00:00,success,"Tightening the gate hurt badly, so loosening it (0.20) keeps more candidates and may raise top-k net return",primary up vs baseline; pool grows so stability_std flat-to-lower,classifier.gate_threshold: 0.25 -> 0.2,-0.000537270142951,0.00431166081445,within_noise,within_noise,0.301958746999,-0.00344232535519,0.0119903838455,0.0111758531986,-0.0156703315821,/Users/richard/Desktop/pp/finance/StockWatch/.research/research_runs/20260611T063023604847Z/metadata.json,,,
5d1dc3bd,8a6edbd9,2026-06-11T06:35:50+00:00,success,Gate response is monotonic across 0.30/0.25/0.20; loosening further to 0.15 extends the gradient until junk candidates start diluting the pool,"primary up vs the 0.20 parent, or the first sign of turnover if 0.15 is too loose",classifier.gate_threshold: 0.2 -> 0.15,-0.000379088344154,0.000158181798798,within_noise,within_noise,0.973122604859,-0.00957793560858,0.00926803811969,0.00712902780774,-0.00957814570311,/Users/richard/Desktop/pp/finance/StockWatch/.research/research_runs/20260611T063330168849Z/metadata.json,,,
66402f24,c65b4209,2026-06-11T06:37:37+00:00,success,"Stronger L2 on the Stage 1 logistic (c_value 0.5) shrinks gate coefficients, yielding better-calibrated probabilities and a cleaner ranked pool",primary flat-to-up vs baseline; stability_std flat-to-lower,classifier.c_value: 1.0 -> 0.5,-0.000125707262294,0.00472322369511,within_noise,within_noise,0.051457150582,-5.75368820126e-05,0.00960076917086,0.0136520252657,-0.014899009384,/Users/richard/Desktop/pp/finance/StockWatch/.research/research_runs/20260611T063553398197Z/metadata.json,,,
f990d2ba,c65b4209,2026-06-11T06:42:30+00:00,success,"The two independent breakeven Stage 1 levers (gate 0.20 + c_value 0.5) stack additively, pushing the strategy net-positive",primary above both single-knob nodes; first shot at significant_improvement,classifier.c_value: 1.0 -> 0.5; classifier.gate_threshold: 0.25 -> 0.2,0.00147469511835,0.00632362607576,within_noise,within_noise,0.0616290736973,-0.000166459984431,0.0125363085436,0.0103736101193,-0.010750358508,/Users/richard/Desktop/pp/finance/StockWatch/.research/research_runs/20260611T064034317017Z/metadata.json,,,
719444d8,c65b4209,2026-06-11T06:44:19+00:00,success,"A slower ranker learning rate (0.03) with the fixed 200 estimators regularizes the allocator, improving generalization of the ranked order",primary flat-to-up vs baseline; stability_std flat-to-lower,ranker.learning_rate: 0.05 -> 0.03,-0.00258539158111,0.00226353937629,within_noise,within_noise,0.224386349057,-0.00108666502998,0.00584001992405,0.00928604210051,-0.0135667022749,/Users/richard/Desktop/pp/finance/StockWatch/.research/research_runs/20260611T064233144275Z/metadata.json,,,
